lat,lon,emission,cluster,cluster_ordered
43.9,2.6,1485.71,0,0
41.0,1.3,8.10894,0,0
49.7,2.5,8310.5,4,2
50.1,2.2,6025.06,4,2
46.7,23.3,8744.14,3,3
37.8,12.9,1244.36,0,0
49.1,18.7,5907.25,4,2
60.8,21.1,217.048,0,0
54.4,17.4,5438.67,4,2
39.1,-3.0,3738.21,2,1
35.1,-7.9,1.02213,0,0
45.2,23.4,290.744,0,0
54.3,29.7,1721.0,0,0
42.1,-2.8,88.3791,0,0
47.0,8.0,9876.99,3,3
51.1,10.9,8707.55,3,3
44.0,28.1,5306.54,4,2
52.2,15.3,2077.69,2,1
53.2,6.2,6703.21,4,2
34.0,-4.2,101.073,0,0
58.5,24.3,1212.43,0,0
47.5,21.7,11358.0,3,3
50.2,14.2,18441.4,1,4
57.9,29.9,474.619,0,0
44.8,7.7,16714.5,1,4
42.2,2.5,6480.39,4,2
54.7,8.7,2114.62,2,1
36.9,-2.2,10395.1,3,3
57.6,29.8,230.087,0,0
45.0,7.0,1554.84,0,0
51.3,27.8,354.419,0,0
58.2,16.4,1389.05,0,0
34.8,-8.8,0.57188,0,0
54.5,-2.1,496.001,0,0
48.7,30.2,9765.33,3,3
47.1,14.1,12946.1,3,3
61.6,12.5,153.959,0,0
50.8,19.7,2287.44,2,1
42.3,21.8,855.895,0,0
61.9,-7.0,0.118426,0,0
69.7,20.6,82.1525,0,0
48.7,-0.2,6395.94,4,2
56.8,25.2,681.305,0,0
55.9,-4.6,8774.18,3,3
42.2,25.0,7167.67,4,2
43.1,14.6,0.437725,0,0
52.2,18.4,6983.11,4,2
50.6,27.3,665.49,0,0
35.0,6.8,0.612103,0,0
40.3,19.6,2490.94,2,1
65.8,28.1,410.629,0,0
64.5,21.0,292.371,0,0
44.8,28.3,5065.76,4,2
52.0,-0.7,13778.1,1,4
68.4,15.1,205.587,0,0
40.6,-0.5,414.793,0,0
56.8,29.7,6.29073,0,0
47.7,13.4,11529.6,3,3
51.2,12.0,15315.4,1,4
36.6,7.7,101.718,0,0
55.0,-1.9,2089.98,2,1
39.1,-6.7,3429.95,2,1
67.4,14.2,36.1803,0,0
55.6,30.1,369.737,0,0
56.7,22.7,579.731,0,0
53.6,15.2,3415.92,2,1
46.7,8.0,4046.67,2,1
55.9,25.2,1302.59,0,0
46.1,26.3,42.2434,0,0
43.9,15.6,4315.4,2,1
35.1,-4.8,2259.85,2,1
67.5,12.2,8.39042,0,0
66.9,28.6,29.218,0,0
53.5,13.4,4187.01,2,1
63.5,9.7,491.348,0,0
34.4,3.3,2.45552,0,0
43.5,25.5,4187.33,2,1
52.0,22.9,6215.76,4,2
52.8,10.0,7271.97,4,2
56.7,15.0,348.838,0,0
37.5,-4.3,3170.51,2,1
48.0,3.5,3118.9,2,1
54.0,21.2,1969.52,2,1
59.1,-2.9,70.5084,0,0
45.8,19.9,2278.21,2,1
36.6,28.2,33.0784,0,0
57.1,22.3,564.394,0,0
40.0,23.8,677.103,0,0
53.8,-7.3,1281.25,0,0
40.7,2.2,0.430693,0,0
52.2,25.2,866.423,0,0
38.1,-1.6,981.75,0,0
50.7,0.0,3417.79,2,1
45.7,16.7,3009.34,2,1
43.6,-6.3,1.52715,0,0
43.1,25.3,3609.75,2,1
46.4,14.9,614.847,0,0
42.8,-2.5,3297.13,2,1
45.6,23.8,45.2391,0,0
63.2,14.7,1003.2,0,0
42.8,17.4,418.71,0,0
56.9,-5.0,325.611,0,0
44.5,10.1,3585.95,2,1
51.7,23.5,3569.01,2,1
35.6,4.8,24.6487,0,0
36.6,24.7,0.342721,0,0
58.6,26.2,1002.24,0,0
64.3,20.4,469.509,0,0
45.4,15.1,1422.15,0,0
41.2,24.1,630.486,0,0
45.1,3.6,2173.36,2,1
62.4,28.3,364.074,0,0
66.2,27.3,325.539,0,0
66.8,28.4,540.514,0,0
52.7,1.0,5230.84,4,2
58.7,8.3,201.454,0,0
43.0,-7.1,583.27,0,0
61.8,9.5,239.996,0,0
59.4,29.2,537.019,0,0
53.4,-0.6,4324.91,2,1
44.2,19.5,5274.76,4,2
40.4,19.5,5843.92,4,2
65.5,21.4,1482.03,0,0
47.4,3.8,2270.03,2,1
51.2,29.7,893.229,0,0
57.4,10.8,5.22585,0,0
49.5,3.9,3687.14,2,1
56.6,-6.3,91.3059,0,0
38.5,16.4,870.893,0,0
43.9,22.3,12426.5,3,3
38.3,24.8,0.399448,0,0
55.7,27.5,997.387,0,0
59.8,26.9,5.55291,0,0
47.6,23.4,16691.3,1,4
57.1,16.3,191.854,0,0
47.2,8.3,10295.8,3,3
48.2,-1.0,8848.93,3,3
47.8,26.6,9526.27,3,3
46.5,22.6,1588.54,0,0
36.3,10.0,3774.79,2,1
54.9,15.9,3.13973,0,0
54.4,24.9,2026.65,2,1
63.5,8.7,393.498,0,0
59.8,8.1,177.285,0,0
39.3,22.5,1434.53,0,0
57.5,24.9,229.789,0,0
56.4,15.5,2833.46,2,1
43.7,5.2,9551.41,3,3
58.1,30.6,307.306,0,0
48.7,23.7,98.4331,0,0
37.2,29.7,1036.04,0,0
46.1,22.3,29.9814,0,0
50.0,18.0,8406.46,4,2
53.3,21.7,2419.92,2,1
52.8,11.6,3078.54,2,1
37.0,28.3,6285.15,4,2
48.9,18.8,3581.23,2,1
59.3,7.6,398.178,0,0
42.6,-3.0,19248.3,1,4
48.4,23.8,24.3759,0,0
51.6,17.5,7878.04,4,2
63.8,27.4,858.619,0,0
47.8,18.2,4981.33,4,2
50.3,21.6,1039.58,0,0
46.0,26.9,310.724,0,0
46.9,10.1,1904.77,2,1
47.3,17.2,5681.35,4,2
35.4,7.9,25.8061,0,0
37.4,30.8,159.418,0,0
45.0,22.7,2816.39,2,1
40.5,24.7,20.4003,0,0
45.4,16.4,20049.4,1,4
41.0,29.8,1448.73,0,0
52.5,23.1,1681.02,0,0
37.0,-3.3,860.789,0,0
50.6,4.0,10810.8,3,3
42.2,11.7,8285.89,4,2
61.8,6.5,981.366,0,0
46.5,9.2,299.574,0,0
61.6,15.9,51.4939,0,0
45.7,6.5,4064.82,2,1
42.2,27.0,1340.07,0,0
45.6,5.5,13498.5,3,3
60.8,27.8,381.349,0,0
57.5,-2.8,1511.16,0,0
35.1,-4.3,2606.85,2,1
48.6,28.8,5633.98,4,2
44.2,21.3,10480.1,3,3
34.6,-4.4,2807.86,2,1
35.6,29.5,0.354639,0,0
52.2,20.4,5222.97,4,2
45.5,16.1,3049.42,2,1
35.9,5.2,205.889,0,0
41.5,24.4,97.7183,0,0
37.4,-5.4,2623.1,2,1
61.8,22.4,10044.8,3,3
62.9,8.1,833.899,0,0
55.7,25.5,1908.71,2,1
47.1,13.7,9511.09,3,3
46.6,-4.8,1.09622,0,0
52.9,-1.7,2968.92,2,1
47.0,3.4,1966.71,2,1
48.4,3.8,4430.86,2,1
41.7,22.0,1637.11,0,0
55.6,-1.8,426.56,0,0
38.5,19.9,0.773376,0,0
53.0,18.3,3133.22,2,1
49.2,-1.7,2739.04,2,1
51.5,20.5,4038.96,2,1
53.8,19.3,3531.47,2,1
52.4,21.9,3161.44,2,1
51.4,21.5,3638.37,2,1
39.1,22.5,1230.12,0,0
39.4,0.4,1.08705,0,0
48.8,9.9,18483.4,1,4
50.2,10.3,5737.7,4,2
37.3,28.5,47.3797,0,0
50.1,20.8,8777.47,3,3
43.7,12.1,2091.01,2,1
53.3,27.0,1389.76,0,0
59.2,29.7,9.04331,0,0
56.6,28.9,0.475964,0,0
35.7,0.6,152.791,0,0
44.1,24.1,7691.38,4,2
69.8,19.9,62.3707,0,0
64.4,16.0,289.092,0,0
57.2,-5.0,24.3779,0,0
47.3,1.9,3086.35,2,1
35.8,0.2,168.886,0,0
